"lat","lng","date"
0.0071239471252008,-0.00291824340820312,2016-11-19
0.00729560850078601,-0.00635147094726562,2016-11-19
0.00720977781301249,-0.015106201171875,2016-11-19
0.00669479368593882,-0.0202560424804688,2016-11-19
0.00317573547202145,-0.0242900848388672,2016-11-19
-0.0055789947421605,-0.0200843811035156,2016-11-19
-0.00480651854904371,-0.0165653228759766,2016-11-19
-0.00154495239239113,-0.0109004974365234,2016-11-19
-0.000514984130852174,-0.0207710266113281,2016-11-19
-0.0135612486526696,-0.0075531005859375,2016-11-19
0.0044631957962703,-0.009613037109375,2016-11-19
0.00158786773661503,0.00248908996582031,2016-11-19
54.1624339680678,26.71875,2016-11-19
39.9097362345372,-4.921875,2016-11-19
38.272688535981,-88.59375,2016-11-19
40.8470603560712,-79.1015625,2016-11-19
63.5485522320364,153.28125,2016-11-19
37.5271536172338,-77.442626953125,2016-11-19
57.3265212252171,64.6875,2016-11-19
40.178873314347,79.8046875,2016-11-19
65.072130085607,91.0546875,2016-11-19
59.3555961100163,119.53125,2016-11-19
58.4936938205681,120.41015625,2016-11-19
59.2658806282581,114.521484375,2016-11-19
43.6122167681757,-84.17724609375,2016-11-19
44.0402187131421,-84.7705078125,2016-11-19
44.0875850282452,-97.03125,2016-11-19
53.9560855309879,-72.421875,2016-11-20
47.75409797968,19.6875,2016-11-20
40.2962865171172,-76.2890625,2016-12-03
40.3231541227755,-76.4569902420044,2016-12-03
40.3171335667706,-76.4220571517944,2016-12-03
40.32043839496,-76.4693927764893,2016-12-03
72.3957057065326,-11.25,2016-12-26
38.2036553839379,-85.726318359375,2016-12-26
40.2795259245949,-81.58447265625,2016-12-26
40.1116889220118,-84.5947265625,2016-12-26
41.5414779177364,-84.90234375,2016-12-26
40.5972708889962,-87.03369140625,2016-12-26
39.1982056087218,-87.4072265625,2016-12-26
38.7883456164218,-88.9453125,2016-12-26
39.130060502214,-89.2529296875,2016-12-26
39.5887575353421,-89.31884765625,2016-12-26
40.0780716839926,-90.1318359375,2016-12-26
39.909736363125,-89.8681640625,2016-12-26
40.0444377129432,-89.835205078125,2016-12-26
40.1368907594261,-89.7088623046875,2016-12-26
40.2376054298254,-89.593505859375,2016-12-26
40.2564727482687,-89.4039916992187,2016-12-26
40.2522804422307,-89.296875,2016-12-26
40.261712721602,-89.2687225341797,2016-12-26
40.263284641662,-89.2549896240234,2016-12-26
40.2680001826898,-89.2385101318359,2016-12-26
66.2314574786257,-45,2016-12-26
46.3165841818222,62.9296875,2016-12-26
35.7465122599185,-78.134765625,2016-12-26
75.8880907461295,110.56640625,2016-12-26
78.2065631107471,-32.34375,2016-12-26
74.7758430064924,-37.96875,2016-12-26
80.7606147075245,-47.109375,2016-12-26
64.1681068979915,203.203125,2016-12-26
67.6092206049638,213.046875,2016-12-26
68.1388516492557,109.6875,2016-12-26
66.2314574786257,125.15625,2016-12-26
66.2314574786257,144.84375,2016-12-26
39.9097362345372,99.140625,2016-12-26
25.7998911820883,112.5,2016-12-26
-11.1784018737118,-59.0625,2016-12-26
-28.3043806829628,151.875,2016-12-26
-26.4312280645064,127.96875,2016-12-26
-19.9733487861106,141.328125,2016-12-26
-31.952162238025,139.21875,2016-12-26
-5.61598581915533,31.640625,2016-12-26
15.2841851140764,21.796875,2016-12-26
19.3111433550646,33.046875,2016-12-26
28.3043806829628,82.265625,2016-12-26
47.9899216674142,93.515625,2016-12-26
50.7364551370107,82.96875,2016-12-26
64.7741253129287,231.328125,2016-12-26
